geneID,A375_8day_rep1,A375_8day_rep2,A375_8day_rep3,A375_0day_rep1,A375_0day_rep2,A375_0day_rep3,WM88_8day_rep1,WM88_8day_rep2,WM88_8day_rep3,WM88_0day_rep1,WM88_0day_rep2,WM88_0day_rep3,SKMEL5_8day_rep1,SKMEL5_8day_rep2,SKMEL5_8day_rep3,SKMEL5_0day_rep1,SKMEL5_0day_rep2,SKMEL5_0day_rep3,SKMEL28_8day_rep1,SKMEL28_8day_rep2,SKMEL28_8day_rep3,SKMEL28_0day_rep1,SKMEL28_0day_rep2,SKMEL28_0day_rep3
ABHD15,1860,1478,1426,1057,502,829,1302,1688,1468,1000,827,808,1000,997,1244,635,866,1053,1653,1485,1672,881,620,892
ABHD16A,1727,1290,1305,1280,627,885,1686,2049,2705,1412,1276,1144,1643,1788,2324,1433,2150,2428,1153,955,1074,1404,805,1149
ABHD16B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17A,6655,4962,5356,5735,3283,4697,5728,6750,4604,6451,5568,5538,5161,4933,6386,4727,6567,7659,4853,3729,4816,5465,3331,4382
ABHD17B,2306,1696,1518,1977,1173,1953,1065,1483,645,1340,1534,1512,1862,1661,2740,1326,2085,1791,776,633,548,652,421,1017
ABHD17C,680,466,590,13008,3269,3493,1065,1392,583,1283,1073,1118,477,444,698,933,1722,2415,572,414,416,1852,926,1904
ABHD18,844,631,530,479,310,664,378,540,538,422,518,388,418,472,690,358,451,414,321,284,266,270,691,443
ABHD2,24176,19089,29922,14584,5165,6684,10671,14222,15565,16818,15241,16239,3031,3152,4136,3471,5940,6066,8090,7294,7057,21988,20523,33841
ABHD3,705,522,552,785,510,790,977,1095,980,1195,1226,1119,597,599,724,732,982,974,481,460,420,1146,1091,1601
ABHD4,2086,1535,1682,657,384,432,3595,4026,961,1553,1428,1321,1741,1779,2536,790,983,1058,3866,2782,3077,686,1269,646
ABHD5,1180,871,930,1472,839,1250,2144,2563,1083,2080,1891,1888,688,597,797,641,757,702,474,395,345,926,499,1170
ABHD6,2051,1482,1838,1053,516,818,2293,2708,5289,2962,2398,2205,1620,1550,1887,1438,1398,1437,1583,1327,1414,1642,456,1492
ABHD8,1931,1516,1535,1632,634,921,448,740,342,301,307,320,583,458,705,497,715,775,760,639,830,492,731,483
ABI1,3283,2490,2512,2659,1592,2216,1926,2660,1199,2303,2297,2182,2567,2559,3488,1426,2091,1839,4715,3710,3397,3138,1853,4095
ABI2,2436,1738,1551,5243,3531,5914,4298,5919,2683,5522,5603,5909,3030,2872,4168,3073,4470,4147,4930,4444,3685,4741,2717,6792
ABI3,5,14,8,5,4,24,2,4,0,0,0,0,0,0,0,0,15,15,2,7,1,0,3,0
ABI3BP,3757,4022,5572,177,194,594,4,2,5,14,13,10,5,6,3,9,5,4,15,16,16,24,60,43
ABITRAM,1473,1138,1136,1227,657,1157,958,1373,468,940,1107,981,688,679,845,446,599,498,332,275,243,438,515,563
ABL1,10352,7330,8366,8981,5994,9070,17813,21892,7446,6276,6074,6337,8215,7731,11288,3980,7921,8496,6221,4955,5850,3438,2174,4090
ABL2,12328,9276,9706,7301,7617,12955,13325,19635,7651,11714,15515,14779,7947,7310,12667,4649,9666,8943,3485,3134,2914,7580,3577,12855
ABLIM1,1300,803,700,1121,633,958,1937,2488,2054,942,1231,1144,5837,5261,7828,8646,12254,9910,645,502,466,373,29,451
ABLIM2,14,9,14,15,4,5,18,19,5,7,2,2,0,2,2,4,5,3,51,29,36,5,29,1
ABLIM3,1758,1309,1344,390,191,405,187,196,45,38,51,34,302,380,442,92,329,431,11835,9761,11149,8744,3656,10559
ABO,0,6,3,0,1,1,0,1,3,1,0,0,12,16,21,10,29,36,0,0,0,0,0,0
ABR,22255,17083,20415,18799,7745,10128,5235,6309,4050,7058,5039,5011,20663,19412,24478,5675,8727,9947,40841,31963,39306,16901,12319,18020
ABR-AS1,2,2,1,0,0,0,0,0,0,1,0,0,5,8,16,0,0,0,8,5,21,5,11,0
ABRA,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABRACL,1307,833,772,1415,780,1136,1760,1957,664,1836,1562,1432,1073,1135,1327,1237,1306,1250,447,261,276,1840,510,1904
ABRAXAS1,687,588,578,414,314,516,157,333,156,288,371,389,341,347,450,333,634,534,458,410,341,317,758,539
ABRAXAS2,1829,1482,1432,1872,1374,2236,879,1611,575,1177,1417,1314,788,759,1102,727,1183,1078,645,536,487,942,370,1448
ABT1,3381,2447,2371,3474,2430,3542,3932,4636,1685,4746,3587,3421,4712,4416,5399,5338,6697,6953,1009,702,1012,2023,844,1974
ABTB1,2162,1617,1655,2430,869,1159,763,937,1834,1039,792,799,965,911,996,760,2046,2729,3239,2866,3677,1686,2163,1743
ABTB2,718,519,624,3547,1422,1547,1294,1772,1487,4072,3587,3602,2165,2232,3686,5744,8085,8972,1703,1495,1709,2735,2173,3035
ACAA1,4199,2866,3074,2611,1226,1911,5152,6038,3776,5131,3790,3665,4498,4261,5163,3612,4174,4532,2970,2354,2757,3831,2058,3426
ACAA2,1461,974,1083,1993,1071,1919,5525,6229,2227,2973,2266,2427,3657,3312,4426,2756,3508,3626,2204,1675,1640,2728,1663,3012
ACACA,11345,8421,8245,6642,5637,10277,4983,6120,4224,5238,5600,5254,6481,6208,9143,5192,7144,6858,4142,3642,3859,4152,4118,5766
ACACB,1988,1340,1405,725,536,899,1630,2125,3086,1013,898,951,5165,5266,7168,2710,3989,3655,4373,4103,4771,2544,7518,3685
ACAD10,7583,5746,5447,2237,1347,2084,2409,2950,4956,1296,1210,1020,3452,3465,4541,1511,2352,2165,3119,2845,3030,1149,1896,1335
ACAD11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAD8,2565,1990,2171,1896,1022,1608,765,818,610,582,486,486,1473,1585,2075,1174,1753,1665,1169,1030,1195,1258,748,1327
ACAD9,2917,2154,2198,3157,2028,3055,2582,3142,2192,2608,2071,2091,3537,3427,4621,2978,3899,4340,2239,1854,2175,3278,1947,3569
ACAD9-DT,239,215,205,101,50,104,203,272,323,144,136,158,362,317,495,94,215,157,546,612,520,149,251,204
ACADL,8,11,1,12,2,2,0,1,0,0,1,0,3,0,0,1,0,4,0,1,0,3,0,0
